feature,nonorm,byspeaker,feature-latex,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef,cat
sF0_means003,0,1,Snack\_\textit{f}$_0$\_3,1,9.947,1,0.341,0,1.258,0,1.25,1,3.689,1,24.926,7
strF0_mean,0,1,STRAIGHT\_\textit{f}$_0$\_Mean,1,0,1,0,0,0,0,0,1,0,1,0,7
strF0_means001,0,1,STRAIGHT\_\textit{f}$_0$\_1,1,0,1,0,0,0,0,0,1,0,1,0,7
strF0_means002,0,1,STRAIGHT\_\textit{f}$_0$\_2,1,0,1,0,0,0,0,0,1,0,1,0,7
strF0_means003,0,1,STRAIGHT\_\textit{f}$_0$\_3,1,0,1,0,0,0,0,0,1,0,1,0,7
VoPT,0,0,VoPT,1,0,1,0,1,0,1,0,1,0,1,0,8
sF1_mean,0,1,F1\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,9
sF1_means001,0,1,F1\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,9
sF1_means002,0,1,F1\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,9
sF1_means003,0,1,F1\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,9
vowel_dur,0,1,Vowel\_Duration,1,0,1,0,1,0,1,0,1,0,1,0,10
pre_is_voiced,1,0,Voicing\_Pre,1,0,0,0,0,0,0,0,0,0,0,0,11
fol_is_voiced,1,0,Voicing\_Fol,1,0,0,0,0,0,0,0,0,0,0,0,11
pre_is_obs,1,0,Manner\_Pre,1,0,0,0,0,0,0,0,0,0,0,0,11
fol_is_obs,1,0,Manner\_Fol,1,0,0,0,0,0,0,0,0,0,0,0,11
pre_exists,1,0,Presence\_Pre,1,0,0,0,0,0,0,0,0,0,0,0,11
fol_exists,1,0,Presence\_Fol,1,0,0,0,0,0,0,0,0,0,0,0,11
ms_from_utt_end,0,0,Dist\_Utt\_(ms),1,0,0,0,0,0,0,0,0,0,0,0,12
utt_per,0,0,Dist\_Utt\_(\%),1,0,0,0,0,0,0,0,0,0,0,0,12
ms_from_word_end,0,0,Dist\_Word\_(ms),1,0,0,0,0,0,0,0,0,0,0,0,12
word_per,0,0,Dist\_Word\_(percent),1,0,0,0,0,0,0,0,0,0,0,0,12
